"","NACE1","NACE2","NACE3","NACE4","NACE.code","turnover","employees","turnover.prev","employees.prev"
"251","C - Manufacturing","23 - Manufacture of other non-metallic mineral products","23.4 - Manufacture of other porcelain and ceramic products","23.4.2 - Manufacture of ceramic sanitary fixtures","2342",23214.0867045568,166,14359.4376895791,88
"252","C - Manufacturing","23 - Manufacture of other non-metallic mineral products","23.4 - Manufacture of other porcelain and ceramic products","23.4.3 - Manufacture of ceramic insulators and insulating fittings","2343",615.996353724129,8,824.102714738566,7
"253","C - Manufacturing","23 - Manufacture of other non-metallic mineral products","23.4 - Manufacture of other porcelain and ceramic products","23.4.4 - Manufacture of other technical ceramic products","2344",265111.198369132,988.758497642841,290508.441848473,1032.55462925112
"254","C - Manufacturing","23 - Manufacture of other non-metallic mineral products","23.4 - Manufacture of other porcelain and ceramic products","23.4.9 - Manufacture of other ceramic products","2349",318.305297267771,2,239.690362727643,1
"256","C - Manufacturing","23 - Manufacture of other non-metallic mineral products","23.5 - Manufacture of cement, lime and plaster","23.5.1 - Manufacture of cement","2351",32759.3728677791,125,12931.7673931609,6
"257","C - Manufacturing","23 - Manufacture of other non-metallic mineral products","23.5 - Manufacture of cement, lime and plaster","23.5.2 - Manufacture of lime and plaster","2352",19632.4429561196,29,3644.81049785423,6
"259","C - Manufacturing","23 - Manufacture of other non-metallic mineral products","23.6 - Manufacture of articles of concrete, cement and plaster","23.6.1 - Manufacture of concrete products for construction purposes","2361",195914.823816924,1445,253644.886279852,1691
"262","C - Manufacturing","23 - Manufacture of other non-metallic mineral products","23.6 - Manufacture of articles of concrete, cement and plaster","23.6.2 - Manufacture of plaster products for construction purposes","2362",41351.1212097467,167,21061.6442498235,93
"263","C - Manufacturing","23 - Manufacture of other non-metallic mineral products","23.6 - Manufacture of articles of concrete, cement and plaster","23.6.3 - Manufacture of ready-mixed concrete","2363",114842.693868315,617,140446.457233214,606
"264","C - Manufacturing","23 - Manufacture of other non-metallic mineral products","23.6 - Manufacture of articles of concrete, cement and plaster","23.6.4 - Manufacture of mortars","2364",6221.15582301718,32,13531.6551712646,58
"265","C - Manufacturing","23 - Manufacture of other non-metallic mineral products","23.6 - Manufacture of articles of concrete, cement and plaster","23.6.5 - Manufacture of fibre cement","2365",5530.78601606322,37,3977.05029128483,32
"266","C - Manufacturing","23 - Manufacture of other non-metallic mineral products","23.6 - Manufacture of articles of concrete, cement and plaster","23.6.9 - Manufacture of other articles of concrete, plaster and cement","2369",4003.87004848157,25,15540.3807732469,106
"268","C - Manufacturing","23 - Manufacture of other non-metallic mineral products","23.7 - Cutting, shaping and finishing of stone","23.7.0 - Cutting, shaping and finishing of stone","2370",18841.7514058146,237,20339.0711695859,214
"270","C - Manufacturing","23 - Manufacture of other non-metallic mineral products","23.9 - Manufacture of abrasive products and non-metallic mineral products n.e.c.","23.9.1 - Production of abrasive products","2391",5965.59168996804,39,5835.34359182896,36
"271","C - Manufacturing","23 - Manufacture of other non-metallic mineral products","23.9 - Manufacture of abrasive products and non-metallic mineral products n.e.c.","23.9.9 - Manufacture of other non-metallic mineral products n.e.c.","2399",195935.44047703,1050,186110.50820262,1027
"274","C - Manufacturing","24 - Manufacture of basic metals","24.1 - Manufacture of basic iron and steel and of ferro-alloys","24.1.0 - Manufacture of basic iron and steel and of ferro-alloys","2410",1077957.78518614,4428,1364947.49356713,4919
"276","C - Manufacturing","24 - Manufacture of basic metals","24.2 - Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","24.2.0 - Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","2420",248894.353867926,1117,241353.323858277,968
"278","C - Manufacturing","24 - Manufacture of basic metals","24.3 - Manufacture of other products of first processing of steel","24.3.1 - Cold drawing of bars","2431",6929.04064319051,23,6865.43333970767,24
"279","C - Manufacturing","24 - Manufacture of basic metals","24.3 - Manufacture of other products of first processing of steel","24.3.2 - Cold rolling of narrow strip","2432",199829.109598065,798.977965027516,219301.588055242,747.974829152889
"280","C - Manufacturing","24 - Manufacture of basic metals","24.3 - Manufacture of other products of first processing of steel","24.3.3 - Cold forming or folding","2433",13023.8375730297,60,9517.12051004389,41
"281","C - Manufacturing","24 - Manufacture of basic metals","24.3 - Manufacture of other products of first processing of steel","24.3.4 - Cold drawing of wire","2434",10293.289011183,48,20354.9095621392,68
"283","C - Manufacturing","24 - Manufacture of basic metals","24.4 - Manufacture of basic precious and other non-ferrous metals","24.4.1 - Precious metals production","2441",293.166232514376,3,166.76222599203,1
"284","C - Manufacturing","24 - Manufacture of basic metals","24.4 - Manufacture of basic precious and other non-ferrous metals","24.4.2 - Aluminium production","2442",311881.049619448,1168,284628.375656015,1079
"285","C - Manufacturing","24 - Manufacture of basic metals","24.4 - Manufacture of basic precious and other non-ferrous metals","24.4.3 - Lead, zinc and tin production","2443",138357.39546397,215,217686.145595209,234
"286","C - Manufacturing","24 - Manufacture of basic metals","24.4 - Manufacture of basic precious and other non-ferrous metals","24.4.4 - Copper production","2444",27422.9709395219,53,18257.6139522556,35
"287","C - Manufacturing","24 - Manufacture of basic metals","24.4 - Manufacture of basic precious and other non-ferrous metals","24.4.5 - Other non-ferrous metal production","2445",2205.02896804071,20,2871.49788527872,19
"288","C - Manufacturing","24 - Manufacture of basic metals","24.4 - Manufacture of basic precious and other non-ferrous metals","24.4.6 - Processing of nuclear fuel","2446",15129.3522823751,27,19624.0660392569,40
"290","C - Manufacturing","24 - Manufacture of basic metals","24.5 - Casting of metals","24.5.1 - Casting of iron","2451",50345.4745710975,545,45233.5373233292,425
"291","C - Manufacturing","24 - Manufacture of basic metals","24.5 - Casting of metals","24.5.2 - Casting of steel","2452",2657.19781508779,33,657.857033550254,8
"292","C - Manufacturing","24 - Manufacture of basic metals","24.5 - Casting of metals","24.5.3 - Casting of light metals","2453",57128.8046958268,576,122776.02470196,944
"293","C - Manufacturing","24 - Manufacture of basic metals","24.5 - Casting of metals","24.5.4 - Casting of other non-ferrous metals","2454",2316.51065204109,36,2360.15779567263,45
"296","C - Manufacturing","25 - Manufacture of fabricated metal products, except machinery and equipment","25.1 - Manufacture of structural metal products","25.1.1 - Manufacture of metal structures and parts of structures","2511",1304175.23252559,12477,1855641.54774858,15041
"297","C - Manufacturing","25 - Manufacture of fabricated metal products, except machinery and equipment","25.1 - Manufacture of structural metal products","25.1.2 - Manufacture of doors and windows of metal","2512",57497.7739135025,617,79887.7365596051,772
"299","C - Manufacturing","25 - Manufacture of fabricated metal products, except machinery and equipment","25.2 - Manufacture of tanks, reservoirs and containers of metal","25.2.1 - Manufacture of central heating radiators and boilers","2521",102852.656014486,534,114586.353270835,601
"300","C - Manufacturing","25 - Manufacture of fabricated metal products, except machinery and equipment","25.2 - Manufacture of tanks, reservoirs and containers of metal","25.2.9 - Manufacture of other tanks, reservoirs and containers of metal","2529",32689.5297671705,300,26395.2026643144,229
"302","C - Manufacturing","25 - Manufacture of fabricated metal products, except machinery and equipment","25.3 - Manufacture of steam generators, except central heating hot water boilers","25.3.0 - Manufacture of steam generators, except central heating hot water boilers","2530",23161.4975941027,92,26415.2639801569,137
"304","C - Manufacturing","25 - Manufacture of fabricated metal products, except machinery and equipment","25.4 - Manufacture of weapons and ammunition","25.4.0 - Manufacture of weapons and ammunition","2540",6491.87350256717,10,4900.09674142041,8
"306","C - Manufacturing","25 - Manufacture of fabricated metal products, except machinery and equipment","25.5 - Forging, pressing, stamping and roll-forming of metal; powder metallurgy","25.5.0 - Forging, pressing, stamping and roll-forming of metal; powder metallurgy","2550",297236.416024842,1908,366356.8022786,2187
"308","C - Manufacturing","25 - Manufacture of fabricated metal products, except machinery and equipment","25.6 - Treatment and coating of metals; machining","25.6.1 - Treatment and coating of metals","2561",132125.893768555,1015,144730.913146389,1126
"309","C - Manufacturing","25 - Manufacture of fabricated metal products, except machinery and equipment","25.6 - Treatment and coating of metals; machining","25.6.2 - Machining","2562",151907.717768861,1653,224030.099437139,2261
"311","C - Manufacturing","25 - Manufacture of fabricated metal products, except machinery and equipment","25.7 - Manufacture of cutlery, tools and general hardware","25.7.1 - Manufacture of cutlery","2571",1926.7771288529,18,2452.74357309588,21
"312","C - Manufacturing","25 - Manufacture of fabricated metal products, except machinery and equipment","25.7 - Manufacture of cutlery, tools and general hardware","25.7.2 - Manufacture of locks and hinges","2572",67355.6340521138,590,19048.4258840065,175
"313","C - Manufacturing","25 - Manufacture of fabricated metal products, except machinery and equipment","25.7 - Manufacture of cutlery, tools and general hardware","25.7.3 - Manufacture of tools","2573",49380.0160532565,603,75181.1583472095,867
"315","C - Manufacturing","25 - Manufacture of fabricated metal products, except machinery and equipment","25.9 - Manufacture of other fabricated metal products","25.9.1 - Manufacture of steel drums and similar containers","2591",38711.699216067,213,43391.1575715576,265
"316","C - Manufacturing","25 - Manufacture of fabricated metal products, except machinery and equipment","25.9 - Manufacture of other fabricated metal products","25.9.2 - Manufacture of light metal packaging","2592",161334.829604509,926,164716.289969069,655
"317","C - Manufacturing","25 - Manufacture of fabricated metal products, except machinery and equipment","25.9 - Manufacture of other fabricated metal products","25.9.3 - Manufacture of wire products, chain and springs","2593",210651.79472974,1116,247838.529187047,1309
"318","C - Manufacturing","25 - Manufacture of fabricated metal products, except machinery and equipment","25.9 - Manufacture of other fabricated metal products","25.9.4 - Manufacture of fasteners and screw machine products","2594",45027.1279142515,206,45298.0667421247,247
"319","C - Manufacturing","25 - Manufacture of fabricated metal products, except machinery and equipment","25.9 - Manufacture of other fabricated metal products","25.9.9 - Manufacture of other fabricated metal products n.e.c.","2599",101371.011014678,1197,268960.032062271,1842
"322","C - Manufacturing","26 - Manufacture of computer, electronic and optical products","26.1 - Manufacture of electronic components and boards","26.1.1 - Manufacture of electronic components","2611",59216.9515377178,646,217388.41387472,928
"323","C - Manufacturing","26 - Manufacture of computer, electronic and optical products","26.1 - Manufacture of electronic components and boards","26.1.2 - Manufacture of loaded electronic boards","2612",33522.3089031946,478,171512.662110751,526
"325","C - Manufacturing","26 - Manufacture of computer, electronic and optical products","26.2 - Manufacture of computers and peripheral equipment","26.2.0 - Manufacture of computers and peripheral equipment","2620",34393.5358081725,234,10896.9853152093,118
"327","C - Manufacturing","26 - Manufacture of computer, electronic and optical products","26.3 - Manufacture of communication equipment","26.3.0 - Manufacture of communication equipment","2630",37218.4560221358,221,92042.6414153035,639
"329","C - Manufacturing","26 - Manufacture of computer, electronic and optical products","26.4 - Manufacture of consumer electronics","26.4.0 - Manufacture of consumer electronics","2640",1035872.69815439,2930,33964.0420084416,80
"331","C - Manufacturing","26 - Manufacture of computer, electronic and optical products","26.5 - Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks","26.5.1 - Manufacture of instruments and appliances for measuring, testing and navigation","2651",85381.3434143875,638,60122.2569985651,404
"332","C - Manufacturing","26 - Manufacture of computer, electronic and optical products","26.5 - Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks","26.5.2 - Manufacture of watches and clocks","2652",2992.91333476653,29,1498.25411367401,10
"334","C - Manufacturing","26 - Manufacture of computer, electronic and optical products","26.6 - Manufacture of irradiation, electromedical and electrotherapeutic equipment","26.6.0 - Manufacture of irradiation, electromedical and electrotherapeutic equipment","2660",252224.592642768,1012.92512386087,263026.813628955,998.857435149032
"336","C - Manufacturing","26 - Manufacture of computer, electronic and optical products","26.7 - Manufacture of optical instruments and photographic equipment","26.7.0 - Manufacture of optical instruments and photographic equipment","2670",113519.918622868,716,125816.210262717,983
"338","C - Manufacturing","26 - Manufacture of computer, electronic and optical products","26.8 - Manufacture of magnetic and optical media","26.8.0 - Manufacture of magnetic and optical media","2680",1924.60925294674,20,2734.17647118891,24
"341","C - Manufacturing","27 - Manufacture of electrical equipment","27.1 - Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","27.1.1 - Manufacture of electric motors, generators and transformers","2711",34005.6670527646,186,22368.837464857,117
"342","C - Manufacturing","27 - Manufacture of electrical equipment","27.1 - Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","27.1.2 - Manufacture of electricity distribution and control apparatus","2712",39249.4824731392,327,53831.9406400791,353
"344","C - Manufacturing","27 - Manufacture of electrical equipment","27.2 - Manufacture of batteries and accumulators","27.2.0 - Manufacture of batteries and accumulators","2720",4605.65165371238,22,3791.94125851777,24
"346","C - Manufacturing","27 - Manufacture of electrical equipment","27.3 - Manufacture of wiring and wiring devices","27.3.1 - Manufacture of fibre optic cables","2731",126410.755853793,645,133863.992034069,661
"347","C - Manufacturing","27 - Manufacture of electrical equipment","27.3 - Manufacture of wiring and wiring devices","27.3.2 - Manufacture of other electronic and electric wires and cables","2732",251838.097289342,1218,112460.857473011,526
"348","C - Manufacturing","27 - Manufacture of electrical equipment","27.3 - Manufacture of wiring and wiring devices","27.3.3 - Manufacture of wiring devices","2733",15216.3782063036,105,140144.890217146,1075
"350","C - Manufacturing","27 - Manufacture of electrical equipment","27.4 - Manufacture of electric lighting equipment","27.4.0 - Manufacture of electric lighting equipment","2740",31636.2122167664,277,73088.4371777168,382
"352","C - Manufacturing","27 - Manufacture of electrical equipment","27.5 - Manufacture of domestic appliances","27.5.1 - Manufacture of electric domestic appliances","2751",10427.6935738782,71,188777.817210601,1379
"353","C - Manufacturing","27 - Manufacture of electrical equipment","27.5 - Manufacture of domestic appliances","27.5.2 - Manufacture of non-electric domestic appliances","2752",61501.4385893489,551,14528.242110496,142
"355","C - Manufacturing","27 - Manufacture of electrical equipment","27.9 - Manufacture of other electrical equipment","27.9.0 - Manufacture of other electrical equipment","2790",46703.1717342505,366,120572.730358782,854
"358","C - Manufacturing","28 - Manufacture of machinery and equipment n.e.c.","28.1 - Manufacture of general-purpose machinery","28.1.1 - Manufacture of engines and turbines, except aircraft, vehicle and cycle engines","2811",94676.2171158554,469,90905.230194363,461
"359","C - Manufacturing","28 - Manufacture of machinery and equipment n.e.c.","28.1 - Manufacture of general-purpose machinery","28.1.2 - Manufacture of fluid power equipment","2812",57920.1411521059,315,56611.62623194,289
"360","C - Manufacturing","28 - Manufacture of machinery and equipment n.e.c.","28.1 - Manufacture of general-purpose machinery","28.1.3 - Manufacture of other pumps and compressors","2813",41029.9196280578,235,80412.5360159799,372
"361","C - Manufacturing","28 - Manufacture of machinery and equipment n.e.c.","28.1 - Manufacture of general-purpose machinery","28.1.4 - Manufacture of other taps and valves","2814",68230.6478624837,407,87038.1189690219,440
"362","C - Manufacturing","28 - Manufacture of machinery and equipment n.e.c.","28.1 - Manufacture of general-purpose machinery","28.1.5 - Manufacture of bearings, gears, gearing and driving elements","2815",19227.9314647426,112,17470.2780632196,114
"364","C - Manufacturing","28 - Manufacture of machinery and equipment n.e.c.","28.2 - Manufacture of other general-purpose machinery","28.2.1 - Manufacture of ovens, furnaces and furnace burners","2821",41512.9177794684,225,4333.0884139698,31
"365","C - Manufacturing","28 - Manufacture of machinery and equipment n.e.c.","28.2 - Manufacture of other general-purpose machinery","28.2.2 - Manufacture of lifting and handling equipment","2822",93041.9743569207,572,470726.33808322,2920
"366","C - Manufacturing","28 - Manufacture of machinery and equipment n.e.c.","28.2 - Manufacture of other general-purpose machinery","28.2.3 - Manufacture of office machinery and equipment (except computers and peripheral equipment)","2823",242583.753386643,1836,124083.503251871,823
"367","C - Manufacturing","28 - Manufacture of machinery and equipment n.e.c.","28.2 - Manufacture of other general-purpose machinery","28.2.4 - Manufacture of power-driven hand tools","2824",617.514115104151,8,2255.33310352366,12
"368","C - Manufacturing","28 - Manufacture of machinery and equipment n.e.c.","28.2 - Manufacture of other general-purpose machinery","28.2.5 - Manufacture of non-domestic cooling and ventilation equipment","2825",29875.2091181959,255,104870.123342114,860
"369","C - Manufacturing","28 - Manufacture of machinery and equipment n.e.c.","28.2 - Manufacture of other general-purpose machinery","28.2.9 - Manufacture of other general-purpose machinery n.e.c.","2829",43663.3092806151,386,48014.1420450292,353
"371","C - Manufacturing","28 - Manufacture of machinery and equipment n.e.c.","28.3 - Manufacture of agricultural and forestry machinery","28.3.0 - Manufacture of agricultural and forestry machinery","2830",68750.8505295581,501,43129.5551852899,300
"373","C - Manufacturing","28 - Manufacture of machinery and equipment n.e.c.","28.4 - Manufacture of metal forming machinery and machine tools","28.4.1 - Manufacture of metal forming machinery","2841",5420.21646471428,45,12895.2508587836,104
"374","C - Manufacturing","28 - Manufacture of machinery and equipment n.e.c.","28.4 - Manufacture of metal forming machinery and machine tools","28.4.9 - Manufacture of other machine tools","2849",12441.4261151,93,4123.42663139209,30
"376","C - Manufacturing","28 - Manufacture of machinery and equipment n.e.c.","28.9 - Manufacture of other special-purpose machinery","28.9.1 - Manufacture of machinery for metallurgy","2891",1267.29004454459,15,2635.92203594252,39
"377","C - Manufacturing","28 - Manufacture of machinery and equipment n.e.c.","28.9 - Manufacture of other special-purpose machinery","28.9.2 - Manufacture of machinery for mining, quarrying and construction","2892",16676.987435901,108,8049.09051719871,40
"378","C - Manufacturing","28 - Manufacture of machinery and equipment n.e.c.","28.9 - Manufacture of other special-purpose machinery","28.9.3 - Manufacture of machinery for food, beverage and tobacco processing","2893",171309.998760939,1695,68507.8532265838,590
"379","C - Manufacturing","28 - Manufacture of machinery and equipment n.e.c.","28.9 - Manufacture of other special-purpose machinery","28.9.4 - Manufacture of machinery for textile, apparel and leather production","2894",9825.70977706692,67,17116.5065931116,131
"380","C - Manufacturing","28 - Manufacture of machinery and equipment n.e.c.","28.9 - Manufacture of other special-purpose machinery","28.9.5 - Manufacture of machinery for paper and paperboard production","2895",1451.34667673067,17,7091.70756849007,80
"381","C - Manufacturing","28 - Manufacture of machinery and equipment n.e.c.","28.9 - Manufacture of other special-purpose machinery","28.9.6 - Manufacture of plastics and rubber machinery","2896",241391.411712148,922,109378.082580022,539
"382","C - Manufacturing","28 - Manufacture of machinery and equipment n.e.c.","28.9 - Manufacture of other special-purpose machinery","28.9.9 - Manufacture of other special-purpose machinery n.e.c.","2899",369092.9501071,1356,261224.571827258,1186
"385","C - Manufacturing","29 - Manufacture of motor vehicles, trailers and semi-trailers","29.1 - Manufacture of motor vehicles","29.1.0 - Manufacture of motor vehicles","2910",490067.423399824,1160,1499851.85635073,2830
"387","C - Manufacturing","29 - Manufacture of motor vehicles, trailers and semi-trailers","29.2 - Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","29.2.0 - Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","2920",127213.225909415,874,155395.135525795,1265
"391","C - Manufacturing","29 - Manufacture of motor vehicles, trailers and semi-trailers","29.3 - Manufacture of parts and accessories for motor vehicles","29.3.1 - Manufacture of electrical and electronic equipment for motor vehicles","2931",12163.7234619236,108,9883.87055555759,82
"392","C - Manufacturing","29 - Manufacture of motor vehicles, trailers and semi-trailers","29.3 - Manufacture of parts and accessories for motor vehicles","29.3.2 - Manufacture of other parts and accessories for motor vehicles","2932",167406.229018501,1392,234648.569042199,1498
"395","C - Manufacturing","30 - Manufacture of other transport equipment","30.1 - Building of ships and boats","30.1.1 - Building of ships and floating structures","3011",208919.454643319,737,146919.222726567,651
"396","C - Manufacturing","30 - Manufacture of other transport equipment","30.1 - Building of ships and boats","30.1.2 - Building of pleasure and sporting boats","3012",67793.156677498,393,106355.668501461,464
"398","C - Manufacturing","30 - Manufacture of other transport equipment","30.2 - Manufacture of railway locomotives and rolling stock","30.2.0 - Manufacture of railway locomotives and rolling stock","3020",5448.09768534517,29,51381.314059387,569
"400","C - Manufacturing","30 - Manufacture of other transport equipment","30.3 - Manufacture of air and spacecraft and related machinery","30.3.0 - Manufacture of air and spacecraft and related machinery","3030",49244.3072444006,363,62939.7653192697,505
"402","C - Manufacturing","30 - Manufacture of other transport equipment","30.4 - Manufacture of military fighting vehicles","30.4.0 - Manufacture of military fighting vehicles","3040",2550.04595759934,4,1776.13753855949,3
"404","C - Manufacturing","30 - Manufacture of other transport equipment","30.9 - Manufacture of transport equipment n.e.c.","30.9.1 - Manufacture of motorcycles","3091",551747.03395808,1159,492239.415289064,856
"405","C - Manufacturing","30 - Manufacture of other transport equipment","30.9 - Manufacture of transport equipment n.e.c.","30.9.2 - Manufacture of bicycles and invalid carriages","3092",176691.347447712,836,70703.9132151709,386
"406","C - Manufacturing","30 - Manufacture of other transport equipment","30.9 - Manufacture of transport equipment n.e.c.","30.9.9 - Manufacture of other transport equipment n.e.c.","3099",35213.5063148821,205,4602.7861919495,29
"409","C - Manufacturing","31 - Manufacture of furniture","31.0 - Manufacture of furniture","31.0.1 - Manufacture of office and shop furniture","3101",155254.368966118,1823,631312.607713394,7287
"412","C - Manufacturing","31 - Manufacture of furniture","31.0 - Manufacture of furniture","31.0.2 - Manufacture of kitchen furniture","3102",12562.6112494748,95,51299.3664567448,455
"413","C - Manufacturing","31 - Manufacture of furniture","31.0 - Manufacture of furniture","31.0.3 - Manufacture of mattresses","3103",10107.9916140019,84,6855.04301964227,58
"414","C - Manufacturing","31 - Manufacture of furniture","31.0 - Manufacture of furniture","31.0.9 - Manufacture of other furniture","3109",49063.1519070399,420,13650.7072542832,141
"417","C - Manufacturing","32 - Other manufacturing","32.1 - Manufacture of jewellery, bijouterie and related articles","32.1.1 - Striking of coins","3211",9022.73448997266,59,6855.57239220411,26
"418","C - Manufacturing","32 - Other manufacturing","32.1 - Manufacture of jewellery, bijouterie and related articles","32.1.2 - Manufacture of jewellery and related articles","3212",6177.01264796607,66,12367.4259567797,100
"419","C - Manufacturing","32 - Other manufacturing","32.1 - Manufacture of jewellery, bijouterie and related articles","32.1.3 - Manufacture of imitation jewellery and related articles","3213",1836.30524822888,19,694.193970895321,5
"421","C - Manufacturing","32 - Other manufacturing","32.2 - Manufacture of musical instruments","32.2.0 - Manufacture of musical instruments","3220",3344.55443642353,54,9858.56616547308,113
"423","C - Manufacturing","32 - Other manufacturing","32.3 - Manufacture of sports goods","32.3.0 - Manufacture of sports goods","3230",18460.6802964769,168,31560.3440485555,215
"425","C - Manufacturing","32 - Other manufacturing","32.4 - Manufacture of games and toys","32.4.0 - Manufacture of games and toys","3240",10479.5563428377,103,15058.8249249135,154
"427","C - Manufacturing","32 - Other manufacturing","32.5 - Manufacture of medical and dental instruments and supplies","32.5.0 - Manufacture of medical and dental instruments and supplies","3250",842457.007797231,3986,1552529.07226044,6165
"431","C - Manufacturing","32 - Other manufacturing","32.9 - Manufacturing n.e.c.","32.9.1 - Manufacture of brooms and brushes","3291",2041.62114856965,19,4658.68344385386,42
"432","C - Manufacturing","32 - Other manufacturing","32.9 - Manufacturing n.e.c.","32.9.9 - Other manufacturing n.e.c.","3299",434006.103203764,36813,130142.44613831,10739
"437","C - Manufacturing","33 - Repair and installation of machinery and equipment","33.1 - Repair of fabricated metal products, machinery and equipment","33.1.1 - Repair of fabricated metal products","3311",59621.8546892079,361,103384.855093987,740
"438","C - Manufacturing","33 - Repair and installation of machinery and equipment","33.1 - Repair of fabricated metal products, machinery and equipment","33.1.2 - Repair of machinery","3312",1244261.30015112,6704,1425888.20469307,7555
"442","C - Manufacturing","33 - Repair and installation of machinery and equipment","33.1 - Repair of fabricated metal products, machinery and equipment","33.1.3 - Repair of electronic and optical equipment","3313",67245.5347510441,856,433074.726031659,1334
"443","C - Manufacturing","33 - Repair and installation of machinery and equipment","33.1 - Repair of fabricated metal products, machinery and equipment","33.1.4 - Repair of electrical equipment","3314",108022.501745215,785,207003.271523595,1521
"444","C - Manufacturing","33 - Repair and installation of machinery and equipment","33.1 - Repair of fabricated metal products, machinery and equipment","33.1.5 - Repair and maintenance of ships and boats","3315",495792.04812077,2826,157296.272345673,690
"445","C - Manufacturing","33 - Repair and installation of machinery and equipment","33.1 - Repair of fabricated metal products, machinery and equipment","33.1.6 - Repair and maintenance of aircraft and spacecraft","3316",89621.5802079007,826,232213.705525205,2481
"446","C - Manufacturing","33 - Repair and installation of machinery and equipment","33.1 - Repair of fabricated metal products, machinery and equipment","33.1.7 - Repair and maintenance of other transport equipment","3317",28975.1390563161,147,68634.009472281,715
"447","C - Manufacturing","33 - Repair and installation of machinery and equipment","33.1 - Repair of fabricated metal products, machinery and equipment","33.1.9 - Repair of other equipment","3319",586.25323758897,8,1779.41118681552,21
"449","C - Manufacturing","33 - Repair and installation of machinery and equipment","33.2 - Installation of industrial machinery and equipment","Installation of boilers and tanks","3321",48505.8016556113,451,24707.5725213502,197
"450","C - Manufacturing","33 - Repair and installation of machinery and equipment","33.2 - Installation of industrial machinery and equipment","Installation of industrial machines","3322",655070.755342793,4299,1039412.2652914,7890
"454","C - Manufacturing","33 - Repair and installation of machinery and equipment","33.2 - Installation of industrial machinery and equipment","Installation of electronic and optical equipment","3323",68417.9662271292,477,59758.2596254635,457
"455","C - Manufacturing","33 - Repair and installation of machinery and equipment","33.2 - Installation of industrial machinery and equipment","Installation of electrical equipment","3324",172794.974498118,1086,189685.394213714,1084
"456","C - Manufacturing","33 - Repair and installation of machinery and equipment","33.2 - Installation of industrial machinery and equipment","Installation of other accessories","3329",265129.073199338,1022.96768328324,273443.221676147,1000.47716211095
"460","D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","35.1 - Electric power generation, transmission and distribution","35.1.1 - Production of electricity","3511",7093966.04235625,6251,8988297.06645791,7142
"464","D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","35.1 - Electric power generation, transmission and distribution","35.1.2 - Transmission of electricity","3512",5676490.60946168,5092.99970911736,7178609.80751964,5239.17278622647
"465","D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","35.1 - Electric power generation, transmission and distribution","35.1.3 - Distribution of electricity","3513",6708251.97940483,5974.89233900659,9039983.28517453,7149.26550424286
"466","D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","35.1 - Electric power generation, transmission and distribution","35.1.4 - Trade of electricity","3514",8096308.3434976,7815.98514009361,11168044.4708409,8332.70026032783
"468","D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","35.2 - Manufacture of gas; distribution of gaseous fuels through mains","Production of natural gas","3520",8617338.49160853,6971.93007626016,11264952.5049808,8813.66630189531
"470","D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","35.3 - Steam and air conditioning supply","35.3.0 - Steam and air conditioning supply","3530",7113429.92286057,5776.43528748119,8228902.11649452,7082.44037654237
"474","E - Water supply; sewerage; waste managment and remediation activities","36 - Water collection, treatment and supply","36.0 - Water collection, treatment and supply","36.0.0 - Water collection, treatment and supply","3600",147503.221732815,714,271866.541454738,1359
"477","E - Water supply; sewerage; waste managment and remediation activities","37 - Sewerage","37.0 - Sewerage","37.0.0 - Sewerage","3700",66384.6270118563,835,54037.7276680503,405
"480","E - Water supply; sewerage; waste managment and remediation activities","38 - Waste collection, treatment and disposal activities; materials recovery","38.1 - Waste collection","38.1.1 - Collection of non-hazardous waste","3811",339414.098371604,2484,312619.59198445,2547
"481","E - Water supply; sewerage; waste managment and remediation activities","38 - Waste collection, treatment and disposal activities; materials recovery","38.1 - Waste collection","38.1.2 - Collection of hazardous waste","3812",276599.337290275,1884,328961.13952329,2379
"483","E - Water supply; sewerage; waste managment and remediation activities","38 - Waste collection, treatment and disposal activities; materials recovery","38.2 - Waste treatment and disposal","38.2.1 - Treatment and disposal of non-hazardous waste","3821",170323.46915742,1020.78911892217,213866.698012653,1133.14812513459
"484","E - Water supply; sewerage; waste managment and remediation activities","38 - Waste collection, treatment and disposal activities; materials recovery","38.2 - Waste treatment and disposal","38.2.2 - Treatment and disposal of hazardous waste","3822",71913.5769110503,106,21548.5996536429,40
